大客車禁行路段調查表 103.03.21,,,,,,,,,,,,
項次,縣市別,"鄉鎮
市區",路線路名,路線樁號及起迄地名,管制通行措施,路況概述,提報單位,"公告日期
及文號",,,,
21,屏東縣,"三地門鄉
霧台鄉",台24線,"26k+200~40K+000
三德檢查哨~霧台","1.禁行甲類大客車
2.開放乙類大客車通行時段：上午9時至下午16時，其餘時段禁行",4~6M寬，且多處莫拉克風災災修工程,本局第三區養護工程處,公路總局第三區養護工程處103.01.23三工交資字第1031000513號函,,,,
22,屏東縣,霧台鄉,台24線,"40K+000~48K+690
霧台~阿禮",禁行甲、乙類大客車,路寬3~5M，且多處莫拉克風災災修工程,本局第三區養護工程處,公路總局第三區養護工程處103.01.23三工交資字第1031000513號函,,,,
23,屏東縣,牡丹鄉,台26線,70K+707~80K+024（港仔~旭海）,禁行甲類大客車,路寬4M~6M,本局第三區養護工程處,公路總局102.01.31路規交字第1021000821B號函,,,,
24,台東縣,達仁鄉,台26線,92K+912~93K+983（舊台26線南田路段）,禁行甲、乙、丙類大客車,路寬3~5M,本局第三區養護工程處,公路總局102.01.31路規交字第1021000821B號函,,,,
25,高雄市,六龜區,台27線,"10K+400~25K+200
興龍~大津",禁行甲、乙類大客車,13K+900~14K+000、16K~ 21K部分施工路段，非柏油路面,本局第三區養護工程處,公路總局102.01.31路規交字第1021000821B號函,,,,
26,臺北市,士林區,陽明山101甲線道路(巴拉卡公路),,大客車禁行路段,山區道路、多彎道,臺北市政府,公告時間不可考,,ok,1 ,
27,臺北市,士林區,福林路100巷,,大客車禁行路段,,臺北市政府,公告時間不可考,,ok,1 ,
28,臺北市,士林區,力行街,,大客車禁行路段,路寬＜5.5m,臺北市政府,公告時間不可考,,ok,1 ,
29,臺北市,南港區,南深路91巷,,大客車禁行路段,路寬＜5.5m,臺北市政府,公告時間不可考,,ok,1 ,
30,臺北市,南港區,重陽路39巷、57巷、125巷,,20:00-09:00大客車禁行路段,,臺北市政府,公告時間不可考,,ok,1 ,
31,臺北市,大同區,大龍街(民族西路至民權西路,,07:00-22:00大客車禁行路段,,臺北市政府,公告時間不可考,,ok,1 ,
32,臺北市,大同區,民權西路144巷、錦西街53巷(民權西路至錦西街),,"07:00-08:30、12:00-13:00、15:00-17:00
大客車禁行路段",,臺北市政府,公告時間不可考,,ok,1 ,
33,臺北市,大同區,鄭州路38巷(鄭州路至忠孝西路),,大客車禁行路段,路寬＜5.5m,臺北市政府,公告時間不可考,,ok,1 ,
34,臺北市,北投區,雙全街,,"06:00-09:00、17:00-19:00
大客車禁行路段",,臺北市政府,公告時間不可考,,ok,1 ,
35,臺北市,北投區,大同街,,"06:00-09:00
大客車禁行路段",路寬＜5.5m,臺北市政府,公告時間不可考,,ok,1 ,
36,臺北市,北投區,新民路,,大客車禁行路段,,臺北市政府,公告時間不可考,,ok,1 ,
37,臺北市,信義區,永吉路30巷,,大客車禁行路段,,臺北市政府,公告時間不可考,,ok,1 ,
38,臺北市,信義區,永吉路120巷,,大客車禁行路段,,臺北市政府,公告時間不可考,,ok,1 ,
39,臺北市,信義區,吳興街,,大客車禁行路段,,臺北市政府,公告時間不可考,,ok,1 ,
40,臺北市,萬華區,萬青街,,大客車禁行路段,,臺北市政府,公告時間不可考,,ok,1 ,
41,臺北市,文山區,貓空地區,,"11:30-13:00、16:00-09:00
大客車禁行路段",山區道路、多彎道,臺北市政府,公告時間不可考,,ok,1 ,
42,新北市,三芝區,101甲線,全線,禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
43,新北市,三芝區,北6,3k+400至終點,禁行甲乙類大客車,,新北市政府,新北市政府102.10.9北府交安字第10228006011號公告函,,,,
44,新北市,金山區,北23,全線,禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
45,新北市,金山區,北27,1k+600~4k,禁行甲類大客車,,新北市政府,新北市政府102.11.15北府交安字第10230491761號公告函,,,,
46,新北市,萬里區,北28,4K~13K,禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
47,新北市,萬里區,北28-2,0K~7K,禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
48,新北市,平溪區,北31線,全線,禁行甲類大客車,,新北市政府,新北市政府102.11.15北府交安字第10230491761號公告函,,ok,1 ,
49,新北市,瑞芳區,北34線,台2線 - 102縣道(隔頂),"假日0800~1800管制大客車
公車及具許可證除外",,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
50,新北市,瑞芳區,"北34線
新山路",金石橋~時雨中學,禁行甲、乙類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
51,新北市,瑞芳區,"北35支線
(濱二路部份路段)",102線九號停車場~濱二路28之2路段,"禁行甲類大客車
(假日大客車空車除外)",,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
52,新北市,瑞芳區,北36,台2線~102縣道(逢甲路),禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
53,新北市,平溪區,北38,台2丙11k+200至北38線終點,禁行甲、乙類大客車,,新北市政府,新北市政府102.3.14北府交安字第10213508591號公告函,,ok,1 ,
54,新北市,雙溪區  坪林區,北42,下坑~漁光國小,禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
55,新北市,雙溪區  坪林區,北43,南山寺以北路段,禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
56,新北市,平溪區,北43,全線,禁行甲類大客車,,新北市政府,新北市政府102.11.15北府交安字第10230491761號公告函,,ok,1 ,
57,新北市,八里區,北49,全線,禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
58,新北市,八里區,北50,全線,禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
59,新北市,八里區,北51,全線,禁行甲類大客車,,新北市政府,新北市政府102.2.7北府交安字第10212331711號公告函,,ok,1 ,
60,新北市,八里區,北52,全線,禁行甲類大客車,,新北市政府,新北市政府102.12.24北府交安字第10232722641號公告函,,ok,1 ,
61,新北市,八里區,北53,全線,禁行甲類大客車,,新北市政府,新北市政府102.12.24北府交安字第10232722641號公告函,,ok,1 ,
62,新北市,八里區,北54,"0K+200-2K
全線",禁行甲類大客車,,新北市政府,新北市政府102.12.24北府交安字第10232722641號公告函,,ok,1 ,
63,新北市,五股區,北55,全線,禁行甲、乙類大客車,,新北市政府,新北市政府102.3.14北府交安字第10213508591號公告函,,ok,1 ,
