鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
中正區,房地(土地+建物)+車位,臺北市中正區汀州路二段91~120號,17.57,住,,,10108,土地1建物1車位1,六層,011,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030123,121.22,2,1,1,有,有,21000000,226195,坡道平面,38.99,2400000
中正區,房地(土地+建物),臺北市中正區汀州路二段91~120號,17.42,住,,,10109,土地1建物1車位0,六層,011,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030123,82.22999999999999,2,1,1,有,有,18280000,222303,,0.0,0
文山區,土地,萬慶段三小段181~210地號,43.83,其他,,,10302,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1630600,37203,,0.0,0
中正區,房地(土地+建物),臺北市中正區中華路二段391~420號,14.22,住,,,10302,土地2建物1車位0,一層,007,華廈(10層含以下有電梯),見使用執照,鋼筋混凝土造,0740316,93.28,0,0,0,無,無,27500000,294811,,0.0,0
文山區,房地(土地+建物)+車位,臺北市文山區育英街61~90號,14.67,住,,,10301,土地1建物1車位1,七層,008,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930513,105.76,2,1,1,有,有,14820000,140129,坡道平面,44.84,0
文山區,房地(土地+建物),臺北市文山區羅斯福路六段271~300號,32.0,商,,,10212,土地1建物1車位0,一層，騎樓,004,店面(店鋪),住家用,加強磚造,0580630,99.94,1,1,1,有,無,41500000,415249,,0.0,0
文山區,土地,興安段一小段511~540地號,63.51,住,,,10301,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,22562100,355253,,0.0,0
文山區,土地,興安段一小段511~540地號,133.52,住,,,10301,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,47437900,355287,,0.0,0
文山區,土地,興安段一小段511~540地號,115.81,住,,,10301,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,44500000,384250,,0.0,0
中正區,房地(土地+建物)+車位,臺北市中正區汀州路二段91~120號,17.88,住,,,10210,土地1建物1車位2,十一層,011,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030123,160.9,2,1,1,有,有,23490000,239870,坡道平面,77.98,3600000
中正區,房地(土地+建物)+車位,臺北市中正區汀州路二段91~120號,13.99,住,,,10210,土地1建物1車位1,十一層,011,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030123,104.65,1,1,1,有,有,18500000,248249,升降平面,38.99,2200000
中正區,房地(土地+建物)+車位,臺北市中正區汀州路二段91~120號,17.57,住,,,10112,土地1建物1車位1,九層,011,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030123,121.22,2,1,1,有,有,21050000,231667,坡道平面,38.99,2000000
文山區,房地(土地+建物),臺北市文山區木新路二段181~210號,22.23,住,,,10301,土地2建物1車位0,一層，二層，騎樓,005,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,,75.02,3,2,2,有,無,15500000,206612,,0.0,0
文山區,土地,興安段一小段511~540地號,53.2,住,,,10301,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,25000000,469925,,0.0,0
文山區,土地,興安段一小段511~540地號,26.6,住,,,10301,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12500000,469925,,0.0,0
文山區,土地,興安段一小段511~540地號,26.6,住,,,10301,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12500000,469925,,0.0,0
文山區,土地,興安段一小段511~540地號,53.2,住,,,10301,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,25000000,469925,,0.0,0
中正區,房地(土地+建物)+車位,臺北市中正區汀州路一段61~90號,23.4,住,,,10301,土地2建物1車位2,十層,020,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1010919,233.62,2,2,2,有,有,52600000,225152,坡道平面,71.84,0
中正區,房地(土地+建物)+車位,臺北市中正區晉江街31~60號,64.44,住,,,10302,土地1建物1車位1,四層,005,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020311,230.73000000000002,3,2,2,有,有,54600000,234198,坡道機械,9.55,2800000
大同區,房地(土地+建物),臺北市大同區重慶北路二段61~90號,8.37,商,,,10301,土地3建物1車位0,十層,012,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0740129,97.48,2,1,1,有,有,14800000,151826,,0.0,0
大同區,房地(土地+建物),臺北市大同區太原路76巷1~30號,7.83,商,,,10212,土地3建物1車位0,全,001,透天厝,,磚造,,5.63,2,2,1,有,無,1706080,303034,,0.0,0
大同區,土地,大龍段一小段601~630地號,585.0,其他,,,10302,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,22054500,37700,,0.0,0
大同區,房地(土地+建物),臺北市大同區安西街151~180號,13.5,其他,,,10302,土地1建物1車位0,五層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750401,55.24,2,1,1,有,無,2900000,52498,,0.0,0
大同區,房地(土地+建物),臺北市大同區民族西路151~180號,26.6,商,,,10302,土地1建物1車位0,五層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681109,89.81,3,2,2,有,無,6850000,76272,,0.0,0
中正區,房地(土地+建物),臺北市中正區中山北路一段1~30號,12.02,其他,,,10302,土地5建物1車位0,三層,011,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0640101,91.88,2,2,1,有,無,19600000,213322,,0.0,0
大同區,房地(土地+建物),臺北市大同區迪化街二段301~330號,13.6,住,,,10301,土地1建物1車位0,四層，五層,005,其他,住家用,鋼筋混凝土造,0950810,67.42,2,2,1,有,無,9800000,145357,,0.0,0
中正區,房地(土地+建物),臺北市中正區開封街一段31~60號,4.1,商,,,10302,土地1建物1車位0,四層,014,套房(1房1廳1衛),住家用,鋼筋混凝土造,0961025,39.81,1,1,1,有,有,9100000,228586,,0.0,0
萬華區,房地(土地+建物),臺北市萬華區青年路31~60號,23.4,住,,,10212,土地1建物1車位0,七層,012,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土造,0760316,110.82000000000001,3,1,1,有,無,4200000,37899,,0.0,0
大同區,房地(土地+建物),臺北市大同區長安西路181~210號,4.77,商,,,10301,土地1建物1車位0,九層,009,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811202,41.81,2,1,1,有,有,8380000,200431,,0.0,0
中正區,房地(土地+建物),臺北市中正區臨沂街27巷1~30號,43.0,住,,,10302,土地1建物1車位0,三層,004,公寓(5樓含以下無電梯),,加強磚造,,120.34,2,2,2,有,無,18500000,153731,,0.0,0
大同區,房地(土地+建物)+車位,臺北市大同區哈密街59巷78弄1~30號,35.41,住,,,10302,土地1建物1車位1,十二層,012,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土造,0880112,153.03,3,2,2,有,有,20370000,133111,坡道平面,0.0,0
萬華區,房地(土地+建物),臺北市萬華區西園路一段121~150號,5.59,商,,,10302,土地1建物1車位0,八層,013,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0960601,51.02,1,1,1,有,有,8800000,172481,,0.0,0
中山區,房地(土地+建物),臺北市中山區新生北路二段62巷31~60號,5.75,商,,,10302,土地1建物1車位0,六層,009,套房(1房1廳1衛),商業用,鋼筋混凝土造,0800225,55.7,1,1,1,有,有,8570000,153860,,0.0,0
內湖區,房地(土地+建物)+車位,臺北市內湖區新湖三路181~210號,185.05,工,,,10301,土地1建物1車位7,六層,007,廠辦,見其他登記事項,鋼筋混凝土造,1011128,1045.01,0,0,0,無,有,138900000,150962,坡道平面,231.56,16100000
內湖區,房地(土地+建物),臺北市內湖區麗山街328巷1~30號,25.91,住,,,10301,土地1建物1車位0,四層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720211,115.16,3,2,2,有,無,14200000,123307,,0.0,0
內湖區,房地(土地+建物),臺北市內湖區民權東路六段121~150號,3.12,商,,,10212,土地1建物1車位0,十三層,014,套房(1房1廳1衛),住家用,鋼筋混凝土造,0980106,38.89,1,1,1,有,有,7650000,196709,,0.0,0
內湖區,房地(土地+建物),臺北市內湖區成功路二段193巷1~30號,11.14,住,,,10301,土地2建物1車位0,五層,007,套房(1房1廳1衛),住家用,鋼筋混凝土造,0981225,45.21,0,1,1,有,有,8500000,188012,,0.0,0
內湖區,房地(土地+建物),臺北市內湖區成功路二段250巷23弄1~30號,31.26,住,,,10301,土地4建物1車位0,三層,004,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681228,88.41,3,2,2,有,無,12800000,144780,,0.0,0
中山區,土地,長安段二小段301~330地號,149.66,商,,,10302,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,136000000,908726,,0.0,0
中山區,房地(土地+建物),臺北市中山區基湖路151巷31~60號,15.82,住,,,10301,土地1建物1車位0,三層,005,套房(1房1廳1衛),住家用,鋼筋混凝土造,0930630,39.16,1,1,1,有,有,9830000,251021,,0.0,0
內湖區,土地,大湖段四小段421~450地號,177.82,其他,,,10302,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3012271,16940,,0.0,0
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路一段691~720號,22.83,商,,,10302,土地1建物1車位1,二層,014,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001028,258.38,4,2,2,有,有,57800000,223702,坡道平面,0.0,0
內湖區,房地(土地+建物),臺北市中山區民權東路六段181~210號,65.22,住,,,10302,土地2建物1車位0,十一層,011,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971023,250.35,3,2,2,有,有,57750000,230677,,0.0,0
中山區,房地(土地+建物),臺北市中山區民生東路一段1~30號,5.99,商,,,10302,土地1建物1車位0,八層,012,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0720224,86.01,3,2,1,有,有,13000000,151145,,0.0,0
中山區,房地(土地+建物)+車位,臺北市中山區明水路691~720號,18.64,商,,,10301,土地1建物1車位1,十二層,012,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0970319,82.27,0,1,1,有,有,20200000,245533,升降機械,15.96,0
內湖區,房地(土地+建物),臺北市內湖區陽光街265巷1~30號,35.61,住,,,10301,土地1建物1車位0,二層,007,華廈(10層含以下有電梯),國民住宅,鋼筋混凝土造,0730207,127.80000000000001,3,2,2,有,有,18500000,144757,,0.0,0
中山區,房地(土地+建物),臺北市中山區天祥路61~90號,4.25,商,,,10301,土地1建物1車位0,十四層,014,套房(1房1廳1衛),住家用,鋼筋混凝土造,0931203,44.03,2,1,1,有,有,11700000,265728,,0.0,0
中山區,車位,臺北市中山區伊通街125巷1~30號,0.27,住,,,10302,土地0建物0車位2,一層,010,其他,商業用,鋼筋混凝土造,0900827,83.94,0,0,0,有,有,1900000,,升降平面,83.94,1900000
萬華區,房地(土地+建物)+車位,臺北市萬華區寶興街140巷31~60號,27.39,住,,,10301,土地1建物1車位1,六層,008,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0930105,162.4,3,2,2,有,有,18080000,111323,坡道平面,0.0,0
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段180巷151~180號,31.46,住,,,10212,土地1建物1車位1,二層,011,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000221,208.97,3,1,2,有,有,31680000,151601,坡道平面,39.57,0
中山區,房地(土地+建物),臺北市中山區林森北路85巷61~90號,13.75,商,,,10302,土地1建物1車位0,二層,006,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0601228,59.199999999999996,2,0,2,有,有,9500000,160473,,0.0,0
中山區,房地(土地+建物),臺北市中山區市民大道三段151~180號,10.08,住,,,10302,土地1建物1車位0,五層,013,套房(1房1廳1衛),住家用,鋼筋混凝土造,0970602,75.16,1,1,1,有,有,12100000,160990,,0.0,0
內湖區,房地(土地+建物),臺北市內湖區大湖山莊街91~120號,314.0,住,,,10212,土地1建物1車位0,全,002,透天厝,住家用,鋼筋混凝土造,0670304,193.75,5,2,3,有,有,110000000,567742,,0.0,0
內湖區,房地(土地+建物)+車位,臺北市內湖區新明路498巷14弄1~30號,17.66,住,,,10302,土地1建物1車位1,七層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1001123,114.39,2,1,1,有,有,15000000,131130,升降機械,0.0,0
中山區,房地(土地+建物),臺北市中山區農安街227巷3弄31~60號,26.4,住,,,10302,土地2建物1車位0,三層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0730114,140.93,4,2,2,有,無,12400000,87993,,0.0,0
中山區,土地,榮星段二小段211~240地號,7.7,其他,,,10301,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1955800,254000,,0.0,0
內湖區,房地(土地+建物),臺北市內湖區內湖路三段191巷1~30號,25.28,住,,,10212,土地2建物1車位0,四層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700128,84.61,3,2,1,有,無,3700000,43730,,0.0,0
中山區,房地(土地+建物),臺北市中山區林森北路481~510號,4.44,商,,,10302,土地1建物1車位0,三層,014,套房(1房1廳1衛),住家用,鋼筋混凝土造,0920122,42.94,1,1,1,有,有,8060000,187704,,0.0,0
內湖區,房地(土地+建物)+車位,臺北市內湖區新明路331~360號,20.83,工,,,10302,土地1建物1車位1,二層,005,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0980403,142.0,3,2,2,有,有,18400000,129577,坡道平面,54.42,0
內湖區,房地(土地+建物),臺北市內湖區環山路一段59巷10弄1~30號,43.03,住,,,10212,土地2建物1車位0,四層,004,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681121,111.73,3,2,1,有,無,18000000,161103,,0.0,0
信義區,土地,敦化段三小段241~270地號,301.92,其他,,,10212,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13230000,43820,,0.0,0
松山區,房地(土地+建物),臺北市松山區南京東路五段250巷18弄1~30號,9.86,住,,,10302,土地1建物1車位0,二層,006,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0660524,50.68,3,1,2,有,無,2800000,55238,,0.0,0
信義區,房地(土地+建物),臺北市信義區光復南路421~450號,25.6,商,,,10302,土地1建物1車位0,一層，二層,015,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0970205,274.66999999999996,0,0,0,無,有,90000000,327666,,0.0,0
信義區,房地(土地+建物),臺北市信義區吳興街336巷31~60號,31.18,住,,,10301,土地1建物1車位0,五層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680825,94.34,6,2,2,有,無,13600000,144159,,0.0,0
松山區,房地(土地+建物),臺北市松山區八德路四段91巷1~30號,23.55,住,,,10302,土地1建物1車位0,七層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0751213,121.99000000000001,4,2,3,有,有,36880000,302320,,0.0,0
松山區,房地(土地+建物),臺北市松山區三民路136巷31~60號,8.34,住,,,10302,土地1建物1車位0,四層,006,套房(1房1廳1衛),住家用,鋼筋混凝土造,0610805,33.99,1,1,1,有,有,7960000,234187,,0.0,0
南港區,土地,玉成段五小段721~750地號,567.0,住,,,10302,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,188661000,332735,,0.0,0
南港區,房地(土地+建物)+車位,臺北市南港區園區街31~60號,16.34,住,,,10301,土地1建物1車位1,八層,012,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000414,133.0,2,2,1,有,有,26530000,199474,坡道平面,33.87,0
信義區,房地(土地+建物),臺北市信義區信義路五段91~120號,17.81,其他,,,10301,土地1建物1車位0,四層,012,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860926,100.29,3,2,2,有,有,30580000,304916,,0.0,0
信義區,房地(土地+建物)+車位,臺北市信義區信義路四段391~420號,18.99,商,,,10212,土地2建物1車位1,五層,012,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0730830,199.64000000000001,4,2,2,有,有,39100000,195853,坡道平面,49.56,0
南港區,土地,南港段一小段31~60地號,5.78,住,,,10302,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,有,2537500,439014,,0.0,0
信義區,房地(土地+建物),臺北市信義區虎林街61~90號,9.61,住,,,10212,土地3建物2車位0,一層，夾層,016,店面(店鋪),住商用,鋼筋混凝土造,0760713,80.67,0,0,0,無,無,29500000,365687,,0.0,0
松山區,房地(土地+建物)+車位,臺北市松山區南京東路五段151~180號,18.5,其他,,,10302,土地1建物1車位1,十四層,018,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0991112,279.14,4,2,2,有,有,74010000,265136,坡道平面,0.0,0
信義區,房地(土地+建物),臺北市信義區永吉路120巷27弄1~30號,33.33,住,,,10301,土地2建物1車位0,全,002,透天厝,住家用,加強磚造,0600110,38.7,4,2,2,有,無,12555000,324419,,0.0,0
松山區,土地,延吉段三小段391~420地號,24.6,其他,,,10302,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,40650,,0.0,0
松山區,房地(土地+建物),臺北市松山區八德路四段204巷7弄1~30號,28.5,住,,,10212,土地2建物1車位0,四層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750726,106.56,4,1,2,有,無,6200000,58183,,0.0,0
松山區,房地(土地+建物),臺北市松山區八德路四段151~180號,54.77,住,,,10212,土地2建物2車位0,六層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0761104,266.91999999999996,7,4,4,有,有,14500000,54323,,0.0,0
松山區,房地(土地+建物),臺北市松山區復興南路一段31~60號,11.73,商,,,10302,土地1建物1車位0,五層,012,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0740815,123.18,3,2,2,有,有,28280000,229583,,0.0,0
信義區,房地(土地+建物)+車位,臺北市信義區吳興街284巷30弄61~90號,29.87,住,,,10301,土地1建物1車位1,五層,006,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0781226,187.38,4,2,2,有,無,27000000,144092,坡道平面,0.0,0
信義區,房地(土地+建物),臺北市信義區忠孝東路五段751~780號,17.1,住,,,10211,土地4建物1車位0,四層,009,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,106.66,3,1,2,有,無,23280000,218264,,0.0,0
松山區,房地(土地+建物)+車位,臺北市松山區民族東路691~720號,9.08,住,,,10302,土地1建物1車位1,二層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0701223,55.41,4,1,2,有,有,2140787,38635,坡道平面,0.0,0
松山區,房地(土地+建物)+車位,臺北市松山區光復北路230巷31~60號,24.16,住,,,10302,土地3建物2車位1,九層,013,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土造,0910307,118.85999999999999,3,2,2,有,有,23250000,195608,坡道平面,0.0,0
士林區,房地(土地+建物),臺北市士林區社中街151~180號,24.4,住,,,10301,土地1建物1車位0,三層,006,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840630,71.95,2,1,1,有,有,9800000,136206,,0.0,0
士林區,房地(土地+建物),臺北市士林區重慶北路四段49巷15弄1~30號,26.5,住,,,10301,土地1建物1車位0,四層,004,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660303,74.83,2,2,1,有,無,11200000,149673,,0.0,0
士林區,房地(土地+建物),臺北市士林區雨聲街9巷1~30號,39.33,住,,,10301,土地1建物1車位0,二層,003,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0661028,99.79,3,2,2,有,無,16630000,166650,,0.0,0
士林區,房地(土地+建物),臺北市士林區永平街9巷1~30號,28.0,其他,,,10212,土地1建物1車位0,五層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690807,83.91,4,2,1,有,無,9550000,113812,,0.0,0
北投區,土地,泉源段二小段661~690地號,193.18,其他,,,10301,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,530000,2744,,0.0,0
北投區,房地(土地+建物),臺北市北投區珠海路109巷1~30號,54.33,住,,,10212,土地1建物1車位0,地下一層,007,華廈(10層含以下有電梯),見使用執照,鋼筋混凝土造,0860702,148.02,4,2,2,有,無,12900000,87150,,0.0,0
士林區,土地,光華段四小段571~600地號,50.0,商,,,10301,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,39992160,799843,,0.0,0
士林區,房地(土地+建物),臺北市士林區社子街22巷22弄1~30號,28.75,住,,,10212,土地1建物1車位0,一層,004,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640506,67.95,2,1,1,有,無,1100000,16188,,0.0,0
北投區,房地(土地+建物),臺北市北投區中央北路四段361~390號,25.05,住,,,10302,土地1建物1車位0,一層,005,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0721116,90.81,0,1,1,有,無,14000000,154168,,0.0,0
士林區,房地(土地+建物),臺北市士林區華榮街31~60號,132.0,住,,,10209,土地3建物1車位0,全,,透天厝,住家用,磚造,0471216,122.0,5,0,1,有,無,87600000,718033,,0.0,0
北投區,土地,新民段三小段391~420地號,59.67,其他,,,10301,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1449800,24297,,0.0,0
北投區,房地(土地+建物)+車位,臺北市北投區清江路25巷1~30號,16.88,商,,,10212,土地1建物1車位1,十三層,014,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910207,182.3,4,2,2,有,有,4300000,23587,坡道平面,43.24,0
士林區,土地,溪洲段三小段211~240地號,287.3,住,,,10301,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,19989300,69576,,0.0,0
士林區,房地(土地+建物),臺北市士林區德行東路132巷5弄1~30號,0.16,住,,,10302,土地1建物1車位0,一層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710428,0.43,0,0,0,無,無,90000,0,,0.0,0
士林區,房地(土地+建物),臺北市士林區德行東路132巷5弄1~30號,0.16,住,,,10302,土地1建物1車位0,一層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710428,0.43,0,0,0,無,無,90000,0,,0.0,0
北投區,房地(土地+建物),臺北市北投區中和街1~30號,4.89,其他,,,10302,土地4建物1車位0,八層,017,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0890329,39.49,1,1,1,有,有,6500000,164599,,0.0,0
大安區,土地,通化段三小段601~630地號,12.75,其他,,,10301,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,850000,66667,,0.0,0
大安區,房地(土地+建物),臺北市大安區新生南路一段103巷31~60號,34.81,住,,,10301,土地2建物1車位0,七層，陽台,007,華廈(10層含以下有電梯),,鋼筋混凝土造,,180.28,4,2,2,有,有,40000000,221877,,0.0,0
大安區,房地(土地+建物),臺北市大安區信義路四段1~30號,2.39,商,,,10301,土地1建物1車位0,十層,012,套房(1房1廳1衛),住家用,鋼筋混凝土造,,21.65,1,0,1,有,有,8400000,387991,,0.0,0
大安區,房地(土地+建物),臺北市大安區和平東路一段50巷1弄1~30號,5.52,商,,,10301,土地2建物1車位0,五層,007,套房(1房1廳1衛),住家用,鋼筋混凝土造,0970414,26.02,1,1,1,有,有,7400000,284397,,0.0,0
大安區,車位,臺北市大安區信義路四段181~210號,1.82,商,,,10302,土地0建物0車位1,地下層,012,其他,見使用執照,鋼筋混凝土造,,16.14,0,0,0,有,有,2000000,,坡道平面,0.0,2000000
大安區,房地(土地+建物),臺北市大安區延吉街151~180號,14.44,住,,,10301,土地1建物1車位0,二層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0701231,82.47,3,2,1,有,無,24300000,294653,,0.0,0
大安區,房地(土地+建物),臺北市大安區泰順街40巷1~30號,26.76,住,,,10301,土地4建物1車位0,六層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0700713,139.41,3,2,2,有,無,34500000,247471,,0.0,0
大安區,房地(土地+建物),臺北市大安區羅斯福路二段91~120號,3.3,商,,,10302,土地8建物1車位0,十九層,026,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0790927,50.68,2,2,1,有,有,16900000,333465,,0.0,0
大安區,房地(土地+建物),臺北市大安區復興南路二段1~30號,3.55,商,,,10302,土地1建物1車位0,九層,012,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0731109,38.24,3,1,2,有,有,9290000,242876,,0.0,0
文山區,房地(土地+建物),臺北市文山區萬和街1~30號,44.24,商,,,10303,土地1建物1車位0,三層,013,辦公商業大樓,見使用執照,鋼筋混凝土造,0860419,223.69,0,0,0,無,有,19000000,84939,,0.0,0
大安區,房地(土地+建物)+車位,臺北市大安區安和路二段91~120號,36.77,住,,,10302,土地2建物1車位2,二十二層，二十三層,025,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780810,416.71,4,3,4,有,有,140000000,335957,坡道平面,0.0,0
中山區,房地(土地+建物)+車位,臺北市中山區復興北路151~180號,29.89,商,,,10212,土地1建物1車位1,九層,012,辦公商業大樓,商業用,鋼筋混凝土造,0720630,272.02,0,1,0,有,有,60320000,221748,升降平面,0.0,0
內湖區,房地(土地+建物)+車位,臺北市內湖區金湖路363巷25弄1~30號,40.51,住,,,10211,土地1建物1車位1,五層,005,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970416,117.12,3,2,1,有,有,24650000,210468,坡道平面,39.4,0
中山區,房地(土地+建物),臺北市中山區復興北路151~180號,28.3,商,,,10212,土地1建物1車位0,九層,012,辦公商業大樓,商業用,鋼筋混凝土造,0720630,256.23,1,1,0,有,有,53870000,210241,,0.0,0
內湖區,房地(土地+建物),臺北市內湖區金湖路31~60號,28.75,住,,,10301,土地1建物1車位0,六層,014,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920930,134.93,4,2,2,有,有,33100000,245312,,0.0,0
中山區,房地(土地+建物),臺北市中山區長安東路一段1~30號,4.02,商,,,10302,土地1建物1車位0,九層,012,辦公商業大樓,商業用,鋼筋混凝土造,0681124,44.58,1,1,1,有,有,6000000,134590,,0.0,0
內湖區,房地(土地+建物),臺北市內湖區民權東路六段180巷42弄31~60號,18.52,住,,,10301,土地2建物1車位0,五層,008,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0911128,60.26,3,2,1,有,有,12000000,199137,,0.0,0
大同區,房地(土地+建物),臺北市大同區重慶北路二段114巷1~30號,10.8,商,,,10302,土地1建物1車位0,一層,005,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0740522,85.02,0,0,0,無,無,4200000,49400,,0.0,0
萬華區,房地(土地+建物),臺北市萬華區內江街91~120號,13.78,住,,,10301,土地1建物1車位0,五層,008,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0871228,83.21,3,2,2,有,有,14500000,174258,,0.0,0
松山區,房地(土地+建物),臺北市松山區敦化北路155巷66弄31~60號,65.46,住,,,10210,土地2建物1車位0,一層，平台,004,公寓(5樓含以下無電梯),,鋼筋混凝土造,,115.38,4,2,1,有,無,38500000,333680,,0.0,0
信義區,土地,永吉段二小段391~420地號,4.5,其他,,,10302,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,220000,48889,,0.0,0
信義區,房地(土地+建物),臺北市信義區永吉路278巷37弄1~30號,33.75,住,,,10212,土地1建物1車位0,四層，陽台,004,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0630413,92.07,7,4,3,有,無,19200000,208537,,0.0,0
信義區,房地(土地+建物),臺北市信義區信義路五段150巷411弄1~30號,33.5,住,,,10301,土地1建物1車位0,二層，陽台,004,公寓(5樓含以下無電梯),住家用,加強磚造,0600415,97.99,3,2,1,有,無,15800000,161241,,0.0,0
