鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
中山區,房地(土地+建物)+車位,臺北市中山區敬業三路162巷91~120號,54.45,住,,,10301,土地1建物1車位1,二層,010,華廈(10層含以下有電梯),國民住宅,鋼筋混凝土造,0890628,191.23000000000002,3,2,2,有,有,31250000,163416,坡道平面,0.0,0
中山區,房地(土地+建物)+車位,臺北市中山區敬業二路69巷31~60號,14.22,商,,,10301,土地1建物1車位1,九層,010,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0961218,99.47999999999999,1,1,1,有,有,16800000,168878,坡道平面,41.79,0
內湖區,房地(土地+建物),臺北市中山區成功路二段250巷23弄1~30號,31.36,住,,,10212,土地6建物1車位0,四層,004,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681228,88.41,3,2,1,有,無,10800000,122158,,0.0,0
內湖區,土地,潭美段三小段841~870地號,2.07,工,,,10212,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,349266,168728,,0.0,0
內湖區,土地,潭美段三小段841~870地號,2.07,工,,,10212,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,349266,168728,,0.0,0
內湖區,房地(土地+建物),臺北市內湖區成功路二段305巷1~30號,16.09,商,,,10302,土地1建物1車位0,二層,005,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0700704,60.21,2,1,1,有,無,12000000,199302,,0.0,0
中山區,房地(土地+建物),臺北市中山區樂群二路271~300號,9.09,其他,,,10301,土地1建物1車位0,四層,011,套房(1房1廳1衛),商業用,鋼筋混凝土造,0970603,51.45,1,1,1,有,有,13900000,270165,,0.0,0
中山區,房地(土地+建物),臺北市中山區新生北路二段58巷1~30號,12.87,商,,,10301,土地5建物1車位0,二層,006,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0700212,67.72,2,2,1,有,無,10900000,160957,,0.0,0
中山區,車位,臺北市中山區民權東路一段31~60號,0.05,商,,,10302,土地0建物0車位1,一層,012,其他,商業用,鋼筋混凝土造,0961002,11.649999999999999,0,0,0,有,有,1000000,,升降機械,11.53,1000000
內湖區,車位,臺北市內湖區民權東路六段280巷155弄211~240號,0.0,,,,10302,土地0建物0車位1,,,其他,,,,29.71,0,0,0,有,有,310000,,升降機械,29.71,310000
中山區,房地(土地+建物),臺北市中山區新生北路二段137巷1~30號,20.48,住,,,10212,土地1建物1車位0,五層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740615,86.31,4,2,2,有,無,15000000,173792,,0.0,0
中山區,房地(土地+建物),臺北市中山區民生東路一段61~90號,3.45,商,,,10302,土地1建物1車位0,八層,010,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0850917,44.91,2,1,1,有,有,7600000,169227,,0.0,0
內湖區,土地,石潭段三小段571~600地號,384.98,住,,,10302,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,146120124,379553,,0.0,0
中山區,房地(土地+建物),臺北市中山區龍江路155巷1~30號,5.4,商,,,10301,土地3建物1車位0,五層,010,套房(1房1廳1衛),商業用,鋼筋混凝土造,0780125,43.099999999999994,1,0,1,有,有,9530000,221114,,0.0,0
中山區,房地(土地+建物)+車位,臺北市中山區基湖路121~150號,63.85,住,,,10212,土地1建物1車位1,六層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0981201,236.14000000000001,3,2,2,有,有,50000000,211739,塔式車位,20.8,0
內湖區,房地(土地+建物),臺北市內湖區文德路22巷1~30號,37.09,住,,,10302,土地6建物1車位0,三層,004,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680717,98.93,3,2,2,有,無,15800000,159709,,0.0,0
南港區,房地(土地+建物)+車位,臺北市南港區東新街91~120號,19.17,商,,,10212,土地1建物1車位1,十一層,015,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000531,163.71,3,2,2,有,有,38500000,235172,坡道平面,16.09,0
信義區,房地(土地+建物),臺北市信義區信義路五段91~120號,8.86,其他,,,10211,土地1建物1車位0,八層,012,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860926,50.04,1,1,1,有,有,15000000,299760,,0.0,0
信義區,房地(土地+建物),臺北市信義區永吉路180巷70弄1~30號,42.25,住,,,10212,土地1建物1車位0,三層，陽台,004,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640702,99.68,3,2,1,有,無,20000000,200642,,0.0,0
南港區,土地,中南段二小段541~570地號,23.31,住,,,10302,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5148150,220856,,0.0,0
信義區,房地(土地+建物),臺北市信義區基隆路一段1~30號,8.91,商,,,10212,土地5建物1車位0,五層,013,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021107,83.28,2,1,1,有,有,21600000,259366,,0.0,0
信義區,房地(土地+建物),臺北市信義區基隆路一段1~30號,8.91,商,,,10212,土地5建物1車位0,四層,013,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021107,83.28,2,1,1,有,有,22850000,274376,,0.0,0
信義區,房地(土地+建物),臺北市信義區基隆路一段1~30號,11.09,商,,,10210,土地5建物1車位0,三層,013,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021107,103.59,2,1,1,有,有,26680000,257554,,0.0,0
信義區,房地(土地+建物),臺北市信義區基隆路一段1~30號,8.91,商,,,10210,土地5建物1車位0,四層,013,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021107,83.28,2,1,1,有,有,21300000,255764,,0.0,0
